months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,vehicle_id,location_id,zip_id,policy_id
235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,462283,Female,Masters,Exec-Managerial,Dancing,Other-Relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,Ny,Northbend,1558 1st Ridge,22,1,Yes,2,2,?,87010,7910,15820,63280,Ford,F150,2002,0,Ford*F150*2002,Northbend_Ny,462283,543610
447,61,214618,1999-05-29,OH,100/300,2000,1137.16,0,615561,Female,High School,Exec-Managerial,Skydiving,Other-Relative,0,-51000,2015-02-15,Multi-Vehicle Collision,Front Collision,Major Damage,Fire,Sc,Springfield,5971 5th Hwy,21,3,Yes,1,2,Yes,114920,17680,17680,79560,Audi,A3,2006,0,Audi*A3*2006,Springfield_Sc,615561,214618
60,23,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,432220,Male,Md,Protective-Serv,Reading,Wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,Sc,Northbend,6655 5th Drive,9,1,Yes,1,0,No,56520,4710,9420,42390,Saab,95,2000,0,Saab*95*2000,Northbend_Sc,432220,842643
121,34,626808,2012-10-26,OH,100/300,1000,936.61,0,464652,Female,Md,Armed-Forces,Bungie-Jumping,Wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,Nan,Sc,Springfield,6582 Elm Lane,5,1,No,1,1,No,7280,1120,1120,5040,Toyota,Highlander,2010,0,Toyota*Highlander*2010,Springfield_Sc,464652,626808
180,38,644081,1998-12-28,OH,250/500,2000,1301.13,0,476685,Female,College,Machine-Op-Inspct,Board-Games,Not-In-Family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,Sc,Springfield,6851 3rd Drive,12,1,No,0,2,Yes,46200,4200,8400,33600,Dodge,Neon,2003,1,Dodge*Neon*2003,Springfield_Sc,476685,644081
473,58,892874,1992-10-19,IN,100/300,2000,1131.4,0,458733,Female,Md,Transport-Moving,Movies,Other-Relative,55700,0,2015-01-29,Multi-Vehicle Collision,Side Collision,Major Damage,Other,Wv,Hillsdale,9573 Weaver Ave,12,4,Yes,0,0,No,63120,10520,10520,42080,Accura,Mdx,1999,1,Accura*Mdx*1999,Hillsdale_Wv,458733,892874
70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,619884,Male,College,Machine-Op-Inspct,Hiking,Own-Child,63600,0,2015-02-22,Multi-Vehicle Collision,Rear Collision,Major Damage,Other,Ny,Riverwood,5074 3rd St,0,3,?,1,2,Yes,52110,5790,5790,40530,Nissan,Maxima,2012,0,Nissan*Maxima*2012,Riverwood_Ny,619884,558938
140,31,275265,2004-11-15,IN,500/1000,500,708.64,6000000,470610,Male,High School,Machine-Op-Inspct,Reading,Unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,Wv,Northbend,4546 Tree St,9,1,No,0,2,Yes,77880,14160,7080,56640,Suburu,Legacy,2015,0,Suburu*Legacy*2015,Northbend_Wv,470610,275265
160,37,921202,2014-12-28,OH,500/1000,500,1374.22,0,472135,Female,Md,Craft-Repair,Yachting,Other-Relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,Ny,Northbrook,3842 Solo Ridge,19,1,Yes,1,0,No,72930,6630,13260,53040,Accura,Tl,2015,0,Accura*Tl*2015,Northbrook_Ny,472135,921202
196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,477670,Female,High School,Handlers-Cleaners,Camping,Own-Child,57000,-27300,2015-02-22,Multi-Vehicle Collision,Side Collision,Major Damage,Police,Va,Columbus,8101 3rd Ridge,8,3,?,2,0,No,60400,6040,6040,48320,Nissan,Pathfinder,2014,0,Nissan*Pathfinder*2014,Columbus_Va,477670,143972
460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,Male,Jd,Other-Service,Bungie-Jumping,Own-Child,0,0,2015-01-01,Multi-Vehicle Collision,Rear Collision,Minor Damage,Police,Ny,Columbus,5380 Pine St,20,3,No,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,0,Suburu*Impreza*2011,Columbus_Ny,618845,183430
217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,442479,Female,Associate,Machine-Op-Inspct,Skydiving,Own-Child,46700,0,2015-02-10,Multi-Vehicle Collision,Side Collision,Total Loss,Police,Sc,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,Rsx,1996,0,Accura*Rsx*1996,Arlington_Sc,442479,431876
370,55,285496,1994-05-27,IL,100/300,2000,972.18,0,443920,Male,High School,Prof-Specialty,Paintball,Other-Relative,72700,-68200,2015-01-11,Multi-Vehicle Collision,Rear Collision,Major Damage,Ambulance,Sc,Hillsdale,2526 Embaracadero Ave,20,3,No,0,0,Yes,71520,17880,5960,47680,Suburu,Forrestor,2000,1,Suburu*Forrestor*2000,Hillsdale_Sc,443920,285496
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,Male,Md,Priv-House-Serv,Chess,Own-Child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Wv,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,Ram,2011,1,Dodge*Ram*2011,Northbend_Wv,453148,115399
237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,434733,Male,College,Craft-Repair,Kayaking,Husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,Va,Riverwood,2502 Apache Hwy,6,1,No,1,3,No,77880,7080,14160,56640,Ford,Escape,2005,0,Ford*Escape*2005,Riverwood_Va,434733,736882
8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,613982,Male,Masters,Sales,Polo,Own-Child,0,0,2015-01-09,Multi-Vehicle Collision,Rear Collision,Major Damage,Other,Oh,Arlington,3418 Texas Lane,16,3,No,1,3,Yes,71500,16500,11000,44000,Ford,Escape,2006,1,Ford*Escape*2006,Arlington_Oh,613982,699044
257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,436984,Male,High School,Prof-Specialty,Golf,Own-Child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,Pa,Arlington,2533 Elm St,4,1,Yes,1,3,Yes,9020,1640,820,6560,Toyota,Camry,2005,0,Toyota*Camry*2005,Arlington_Pa,436984,863236
202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,607730,Male,Jd,Exec-Managerial,Chess,Not-In-Family,31000,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,Nan,Va,Northbrook,3790 Andromedia Hwy,5,1,Yes,2,1,?,5720,1040,520,4160,Suburu,Forrestor,2003,1,Suburu*Forrestor*2003,Northbrook_Va,607730,608513
224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,609837,Female,Jd,Sales,Kayaking,Not-In-Family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,Sc,Northbend,3220 Rock Drive,21,1,No,1,0,Yes,69840,7760,15520,46560,Dodge,Neon,2009,0,Dodge*Neon*2009,Northbend_Sc,609837,914088
241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,432211,Female,Phd,Machine-Op-Inspct,Basketball,Unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,Sc,Northbrook,2100 Francis Drive,5,1,No,2,2,No,91650,14100,14100,63450,Accura,Tl,2011,0,Accura*Tl*2011,Northbrook_Sc,432211,596785
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,Male,Masters,Prof-Specialty,Video-Games,Husband,53200,0,2015-01-18,Multi-Vehicle Collision,Side Collision,Major Damage,Ambulance,Sc,Columbus,4687 5th Drive,22,4,No,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,0,Toyota*Corolla*2005,Columbus_Sc,473328,908616
166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,610393,Male,Jd,Craft-Repair,Reading,Husband,27500,0,2015-02-28,Multi-Vehicle Collision,Side Collision,Major Damage,Police,Wv,Riverwood,9038 2nd Lane,10,3,No,2,2,?,67140,7460,7460,52220,Ford,F150,2006,1,Ford*F150*2006,Riverwood_Wv,610393,666333
155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,614780,Female,Associate,Adm-Clerical,Yachting,Other-Relative,81100,0,2015-02-24,Multi-Vehicle Collision,Front Collision,Total Loss,Police,Ny,Arlington,6092 5th Ave,16,3,Yes,2,3,No,29790,3310,3310,23170,Bmw,3 Series,2008,0,Bmw*3 Series*2008,Arlington_Ny,614780,336614
114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,472248,Male,High School,Farming-Fishing,Video-Games,Wife,51400,-64000,2015-01-09,Multi-Vehicle Collision,Front Collision,Major Damage,Ambulance,Ny,Hillsdale,8353 Britain Ridge,1,3,No,1,2,?,77110,14020,14020,49070,Suburu,Impreza,2015,0,Suburu*Impreza*2015,Hillsdale_Ny,472248,584859
149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,603381,Male,Phd,Prof-Specialty,Yachting,Own-Child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,Wv,Hillsdale,3540 Maple St,17,1,Yes,0,1,Yes,64800,10800,5400,48600,Audi,A3,1999,0,Audi*A3*1999,Hillsdale_Wv,603381,990493
147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,479224,Male,High School,Craft-Repair,Reading,Not-In-Family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,Wv,Springfield,3104 Sky Drive,15,1,Yes,2,0,Yes,53100,10620,5310,37170,Mercedes,C300,1995,1,Mercedes*C300*1995,Springfield_Wv,479224,129872
62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,430141,Female,Masters,Protective-Serv,Camping,Unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,Ny,Northbrook,4981 Weaver St,3,1,?,1,1,Yes,60200,6020,6020,48160,Suburu,Forrestor,2004,1,Suburu*Forrestor*2004,Northbrook_Ny,430141,200152
289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,620757,Female,Jd,Priv-House-Serv,Golf,Unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,Nan,Wv,Arlington,6676 Tree Lane,16,1,No,1,1,Yes,5330,1230,820,3280,Suburu,Legacy,2001,0,Suburu*Legacy*2001,Arlington_Wv,620757,933293
431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,615901,Female,Md,Craft-Repair,Bungie-Jumping,Unmarried,65700,0,2015-01-21,Multi-Vehicle Collision,Rear Collision,Major Damage,Police,Ny,Hillsdale,3930 Embaracadero St,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,2007,0,Jeep*Wrangler*2007,Hillsdale_Ny,615901,485664
199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,474615,Male,Jd,Tech-Support,Video-Games,Wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Nc,Columbus,3422 Flute St,4,1,?,0,3,No,60170,10940,10940,38290,Nissan,Pathfinder,2011,1,Nissan*Pathfinder*2011,Columbus_Nc,474615,982871
79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,Male,Associate,Tech-Support,Kayaking,Not-In-Family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,Wv,Columbus,4862 Lincoln Hwy,19,1,No,2,2,?,40000,8000,4000,28000,Bmw,M5,2010,0,Bmw*M5*2010,Columbus_Wv,456446,206213
116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,470577,Male,Associate,Transport-Moving,Chess,Unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,Wv,Northbrook,5719 2nd Lane,1,1,?,1,1,?,97080,16180,16180,64720,Bmw,X5,2001,1,Bmw*X5*2001,Northbrook_Wv,470577,616337
37,23,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,Female,College,Prof-Specialty,Hiking,Husband,0,-67400,2015-01-16,Multi-Vehicle Collision,Side Collision,Minor Damage,Other,Sc,Springfield,3221 Solo Ridge,17,3,Yes,1,0,No,51660,5740,5740,40180,Dodge,Ram,2010,0,Dodge*Ram*2010,Springfield_Sc,441648,448961
106,30,790442,2003-04-13,OH,250/500,500,538.17,0,433782,Female,Phd,Transport-Moving,Reading,Own-Child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,Nc,Arlington,6660 MLK Drive,23,1,No,2,2,No,51120,5680,5680,39760,Mercedes,E400,2005,0,Mercedes*E400*2005,Arlington_Nc,433782,790442
269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,468104,Male,Jd,Priv-House-Serv,Reading,Unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,Sc,Springfield,1699 Oak Drive,14,1,Yes,0,2,?,56400,11280,11280,33840,Toyota,Highlander,2014,0,Toyota*Highlander*2014,Springfield_Sc,468104,108844
265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,459407,Female,Md,Protective-Serv,Yachting,Husband,0,0,2015-02-21,Multi-Vehicle Collision,Rear Collision,Total Loss,Other,Ny,Arlington,4234 Cherokee Lane,17,3,No,2,3,?,55120,6890,0,48230,Accura,Mdx,2002,0,Accura*Mdx*2002,Arlington_Ny,459407,430029
163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,472573,Female,Associate,Other-Service,Polo,Husband,35300,0,2015-02-18,Multi-Vehicle Collision,Rear Collision,Total Loss,Fire,Nc,Northbend,7476 4th St,11,3,Yes,1,1,?,77110,0,14020,63090,Honda,Civic,2014,0,Honda*Civic*2014,Northbend_Nc,472573,529112
355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,433473,Male,College,Other-Service,Kayaking,Husband,0,0,2015-01-10,Multi-Vehicle Collision,Front Collision,Major Damage,Fire,Wv,Arlington,8907 Tree Ave,19,3,No,2,1,No,62800,6280,6280,50240,Audi,A3,2003,1,Audi*A3*2003,Arlington_Wv,433473,939631
175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,446326,Female,Phd,Protective-Serv,Dancing,Other-Relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,Ny,Arlington,6619 Flute Ave,5,1,?,2,0,Yes,7290,810,810,5670,Volkswagen,Passat,1995,0,Volkswagen*Passat*1995,Arlington_Ny,446326,866931
192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,435481,Female,Masters,Exec-Managerial,Movies,Wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,Wv,Springfield,6011 Britain St,19,1,No,0,0,?,76600,15320,7660,53620,Mercedes,C300,2000,0,Mercedes*C300*2000,Springfield_Wv,435481,582011
430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,477310,Male,Md,Other-Service,Bungie-Jumping,Own-Child,0,0,2015-01-03,Multi-Vehicle Collision,Front Collision,Minor Damage,Fire,Ny,Riverwood,5104 Francis Drive,19,3,?,0,3,Yes,81800,16360,8180,57260,Nissan,Pathfinder,1998,0,Nissan*Pathfinder*1998,Riverwood_Ny,477310,691189
91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,609930,Female,Jd,Farming-Fishing,Polo,Husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,Nan,Ny,Arlington,2280 4th Ave,4,1,?,1,2,?,7260,1320,660,5280,Bmw,M5,2008,0,Bmw*M5*2008,Arlington_Ny,609930,537546
217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,Male,College,Armed-Forces,Basketball,Not-In-Family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,Nan,Wv,Northbend,2644 Elm Drive,8,1,?,2,1,Yes,4300,430,430,3440,Toyota,Corolla,2000,0,Toyota*Corolla*2000,Northbend_Wv,603993,394975
223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,437818,Female,Jd,Priv-House-Serv,Movies,Husband,88400,-46500,2015-01-27,Multi-Vehicle Collision,Side Collision,Major Damage,Police,Nc,Columbus,7466 MLK Ridge,7,3,Yes,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,1999,0,Suburu*Forrestor*1999,Columbus_Nc,437818,729634
195,39,282195,2014-08-17,OH,250/500,1000,1393.57,0,478423,Male,Phd,Machine-Op-Inspct,Movies,Not-In-Family,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,Va,Northbend,5821 2nd St,5,1,No,0,1,Yes,2640,480,480,1680,Ford,F150,2009,0,Ford*F150*2009,Northbend_Va,478423,282195
22,26,420810,2007-08-11,OH,100/300,1000,1276.57,0,467784,Male,Phd,Craft-Repair,Skydiving,Not-In-Family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,Ny,Arlington,6723 Best Drive,3,1,Yes,1,2,No,78900,15780,7890,55230,Chevrolet,Silverado,1995,0,Chevrolet*Silverado*1995,Arlington_Ny,467784,420810
439,56,524836,2008-11-20,IN,250/500,500,1082.49,0,606714,Female,Phd,Prof-Specialty,Chess,Unmarried,36100,-55000,2015-02-28,Multi-Vehicle Collision,Front Collision,Major Damage,Fire,Sc,Columbus,4866 4th Hwy,12,3,?,2,3,?,56430,0,6270,50160,Honda,Crv,2014,0,Honda*Crv*2014,Columbus_Sc,606714,524836
94,32,307195,1995-10-18,IN,500/1000,1000,1414.74,0,464691,Female,Masters,Adm-Clerical,Hiking,Own-Child,0,0,2015-02-22,Parked Car,?,Minor Damage,Nan,Va,Riverwood,5418 Britain Ave,19,1,No,1,3,No,2400,300,300,1800,Chevrolet,Silverado,2014,0,Chevrolet*Silverado*2014,Riverwood_Va,464691,307195
11,39,623648,1993-05-19,IL,250/500,2000,1470.06,0,431683,Male,Phd,Other-Service,Yachting,Husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,Wv,Riverwood,4296 Pine Hwy,22,1,Yes,0,1,No,65790,7310,7310,51170,Saab,93,2007,0,Saab*93*2007,Riverwood_Wv,431683,623648
151,36,485372,2005-02-26,OH,250/500,2000,870.63,0,431725,Female,Md,Adm-Clerical,Kayaking,Own-Child,94800,-58500,2015-01-06,Multi-Vehicle Collision,Side Collision,Minor Damage,Police,Va,Hillsdale,2299 1st St,12,3,No,1,1,No,62920,11440,5720,45760,Ford,Escape,2000,0,Ford*Escape*2000,Hillsdale_Va,431725,485372
154,34,598554,1990-02-14,IN,100/300,500,795.23,0,609216,Male,Phd,Machine-Op-Inspct,Base-Jumping,Other-Relative,36900,0,2015-01-10,Multi-Vehicle Collision,Rear Collision,Major Damage,Police,Ny,Springfield,6618 Cherokee Drive,15,3,Yes,2,1,?,69480,15440,0,54040,Nissan,Maxima,2014,1,Nissan*Maxima*2014,Springfield_Ny,609216,598554
245,44,303987,1993-09-30,IL,500/1000,1000,1168.2,0,452787,Male,Jd,Handlers-Cleaners,Basketball,Husband,69100,0,2015-02-11,Multi-Vehicle Collision,Side Collision,Total Loss,Other,Oh,Springfield,7459 Flute St,23,3,No,0,3,No,44280,7380,3690,33210,Honda,Accord,1997,0,Honda*Accord*1997,Springfield_Oh,452787,303987
119,32,343161,2014-06-10,IL,500/1000,1000,993.51,0,468767,Male,High School,Armed-Forces,Bungie-Jumping,Unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,Wv,Hillsdale,3567 4th Drive,12,1,No,0,3,Yes,56300,5630,11260,39410,Bmw,M5,2011,0,Bmw*M5*2011,Hillsdale_Wv,468767,343161
215,42,519312,2008-10-28,OH,500/1000,500,1848.81,0,435489,Male,Jd,Transport-Moving,Video-Games,Own-Child,0,-49000,2015-02-06,Multi-Vehicle Collision,Front Collision,Major Damage,Fire,Wv,Northbend,2457 Washington Ave,20,3,Yes,2,2,Yes,68520,11420,5710,51390,Suburu,Legacy,2003,1,Suburu*Legacy*2003,Northbend_Wv,435489,519312
295,42,132902,2007-04-24,OH,250/500,2000,1641.73,5000000,450149,Male,Phd,Sales,Chess,Not-In-Family,62400,0,2015-01-20,Multi-Vehicle Collision,Rear Collision,Total Loss,Fire,Va,Riverwood,1269 Flute Drive,16,3,No,0,0,No,59130,6570,6570,45990,Ford,Escape,2006,1,Ford*Escape*2006,Riverwood_Va,450149,132902
254,39,332867,1993-12-13,IN,100/300,500,1362.87,0,458364,Female,Md,Exec-Managerial,Chess,Other-Relative,35700,0,2015-02-22,Multi-Vehicle Collision,Front Collision,Minor Damage,Ambulance,Ny,Arlington,1218 Sky Hwy,6,3,Yes,2,2,No,82320,13720,6860,61740,Dodge,Neon,1995,1,Dodge*Neon*1995,Arlington_Ny,458364,332867
107,31,356590,2011-08-17,IN,250/500,500,1239.22,7000000,476458,Female,High School,Tech-Support,Paintball,Not-In-Family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,Sc,Springfield,9169 Pine Ridge,12,1,Yes,0,1,No,89700,13800,13800,62100,Audi,A5,2009,1,Audi*A5*2009,Springfield_Sc,476458,356590
478,64,346002,1990-08-20,OH,250/500,500,835.02,0,602433,Female,Associate,Adm-Clerical,Reading,Unmarried,59600,0,2015-02-02,Multi-Vehicle Collision,Side Collision,Minor Damage,Fire,Wv,Hillsdale,8538 Texas Lane,17,3,No,1,1,No,33930,0,3770,30160,Bmw,X6,1998,0,Bmw*X6*1998,Hillsdale_Wv,602433,346002
128,30,500533,1994-02-11,OH,100/300,1000,1061.33,0,478575,Male,Md,Machine-Op-Inspct,Movies,Own-Child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,Wv,Northbrook,5783 Oak Ave,8,1,No,0,3,No,68530,12460,6230,49840,Audi,A5,1997,0,Audi*A5*1997,Northbrook_Wv,478575,500533
338,49,348209,1994-02-22,IN,500/1000,1000,1279.08,0,449718,Male,Md,Other-Service,Kayaking,Own-Child,0,-51500,2015-02-27,Parked Car,?,Minor Damage,Nan,Nc,Riverwood,7721 Washington Ridge,13,1,No,0,1,?,4300,860,860,2580,Ford,F150,2004,0,Ford*F150*2004,Riverwood_Nc,449718,348209
271,42,486676,2011-08-15,OH,100/300,500,1105.49,0,463181,Female,Associate,Prof-Specialty,Sleeping,Own-Child,56200,-50000,2015-02-20,Multi-Vehicle Collision,Side Collision,Major Damage,Other,Sc,Hillsdale,8006 Maple Hwy,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,2003,1,Audi*A3*2003,Hillsdale_Sc,463181,486676
222,41,260845,1998-11-11,OH,100/300,2000,1055.53,0,441992,Female,Md,Armed-Forces,Cross-Fit,Not-In-Family,37800,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,Wv,Northbrook,6751 Pine Ridge,7,1,No,0,2,No,61290,6810,6810,47670,Honda,Civic,1995,1,Honda*Civic*1995,Northbrook_Wv,441992,260845
